Programs Pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STEM,STEM,STEM,STEM,STEM,STEM,STEM,Life Skills,Life Skills,Life Skills,Life Skills,Visual Arts,Visual Arts,Visual Arts,Visual Arts,Visual Arts,Visual Arts,Performance,Performance,Performance,Media Arts,Media Arts,Media Arts,Media Arts,Athletics,Athletics,Athletics,Athletics,Athletics,Athletics,Athletics,Athletics,Athletics,Music,Music,Music,Music,Kindergarten,Kindergarten,Kindergarten,Kindergarten,Kindergarten
In-school - body,"This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]",,"This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]","This program (delivered in-school, during class time) has been designed to supplement and extend Ontario school curriculum. Our experiential mode of instruction brings unique activities into any classroom, resulting in meaningful and memorable learning outcomes. Learn more> [link to In-Class Enrichment page]"
,Flexible program delivery.,,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.,Flexible program delivery.
,"Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.",,"Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.",,"Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities.","Our Lunch and Afterschool Clubs are typically run as three to eight-week programs, but we also offer one-off presentations, including half-day or full-day activities."
,"Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.",,"Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.",,"Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities.","Our In-Class Enrichment programs are tailored to suit the particular needs of any given classroom and school budget and can be presented as half-day, full-day, multiple-day, or weekly activities."
Community events - title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance note- title,,,,,,,,,,,,,,,,,,,Final performance video will be distributed ONLY to participant families.,Final performance video will be distributed ONLY to participant families.,,,,,,,,,,,,,,,,,,,,,,
Ages/levels - title,Junior kindergarten to grade 8.,Grade 1 to grade 8.,Grade 1 to grade 8.,Junior kindergarten to grade 8.,Junior kindergarten to grade 8.,Grade 1 to grade 5.,Junior kindergarten to grade 5.,Grade 4 to grade 6,Grade 1 to grade 8.,Grades 3 and up.,Grade 1 to grade 8.,Junior kindergarten to grade 8.,Junior kindergarten to grade 8.,Grade 1 to grade 8.,Junior kindergarten to grade 8.,Junior kindergarten to grade 8.,Grade 1 to grade 8.,Grade 1 to grade 8.,Junior kindergarten to grade 8.,Junior kindergarten to grade 12.,Grade 3 to grade 8.,Grade 1 to grade 8.,Grade 1 to grade 8.,Grades 4 to 6.,Junior kindergarten to grade 8.,Junior kindergarten to grade 8.,Junior kindergarten to grade 8.,Junior kindergarten to grade 8.,Junior kindergarten to grade 8.,Junior kindergarten to grade 8.,Junior kindergarten to grade 6.,Junior kindergarten to grade 8.,Junior kindergarten to grade 8.,Grade 1 to grade 8.,Junior kindergarten to grade 8.,Junior and senior kindergarten.,Junior kindergarten to grade 8.,Junior and senior kindergarten.,Junior and senior kindergarten.,Junior and senior kindergarten.,Junior and senior kindergarten.,Junior and senior kindergarten.
Language - title,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.,Available in English and French.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Othe Pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,/programs/,/in-class-enrichment-program/ ,/tbsb-partnership-programs/,/lunch-and-after-school-clubs/,/kindergarten-programs/,/birthdays-and-special-events/,/camps-extraed-unleashing-summer-adventures/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main Title,OUR PROGRAMS,In-Class Enrichment Program.,TDSB Partnership Programs.,Lunch and After-School Clubs.,Kindergarten Programming.,Extra Ed for Birthdays and Special Events.,Extra Ed for Camps or Childcare Centres.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body 1,"Extra Ed provides a variety of programs to schools, organizations and communities across southern Ontario. These programs are delivered by a team of dedicated instructors from curriculum developed by educators and subject experts.","This program is for schools looking to bring exciting, supplemental learning into their classrooms. Delivered on-site, our program provides the staff, materials and administrative support to integrate seamlessly into the school day. Programs are delivered during classroom time.","As a participant in the TDSB’s Educational Programming Partnerships, Extra Ed is pleased to offer two programs which have been developed specifically to supplement and extend Ontario school curriculum. Our programs have been vetted and approved by TDSB to be delivered in-class, during instructional time.","Our clubs program provides fun and rewarding extracurricular activities to schools across the Greater Toronto Area. As an approved vendor to multiple school boards, our clubs are easy to implement, delivered on-site, and fully staffed. We work directly with parent councils and schools to find just the right programs for each school’s extracurricular needs.","With programs that serve a broad range of age and developmental levels, we are always mindful to address the needs of our younger participants. Accordingly, we have tailored several of our most popular subjects to kindergarten-specific programs.","Our programming extends well beyond the classroom. As active participants in our communities we are pleased to offer our workshops and activities to events, parties and more.","Looking to enhance your camp activities or diversify your daycare experience? Extra Ed is the solution. As a leading educational provider in the Greater Toronto Area, we offer over 30 unique programs in STEM, music, arts, performance, and athletics. Our instructors come to you, working on-site to provide an enriching supplement to your organization's existing programming.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body 2,We are an approved vendor to multiple school boards and an Educational Partner with the Toronto District School Board (TDSB).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Lunch and After-School Clubs.,Enhance the curriculum.,Financial Literacy.,Curriculum approach.,Activity and exploration.,Birthday parties.,For camps.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"This in-school extracurricular program runs for students in kindergarten to grade 8. Available in our complete range of subjects, it provides students with unique educational experiences beyond their school curriculum. Learn more>","With curriculum developed by subject experts and OCT educators, we give students experiences designed to enhance and supplement in-class teaching. We aim to provide innovative activities in the classroom, fostering understanding of topics in unique and fulfilling ways.","Exploring the concepts of currency, savings, debt, and investment, students of all ages are shown fun and interesting ways to learn about money. We empower young people to take charge of their financial lives through engaging and easy-to-understand lessons, exciting tournaments, and team-based activities which leave lasting and practical impressions. Learn more>","We operate school clubs for children of all ages. For each club we are careful to tailor its curriculum appropriate to its diversity of skills, ages and interests. Viewed as supplemental to in-class learning, we aim for our clubs to provide educational and social opportunities that lie beyond normal school-day activities.","Our kindergarten programming is designed to bring special experiences into our participants’ days. Our instructors create environments for social interaction and play. Our activities, create and engaging, promote learning, discovery and, above all, fun.","Looking to add some magic to a birthday party? We can help—quite literally. Magic[link], robotics[link], sports[link to multi-sport], arts[link] activities, and any other of our specialized subjects are available to be delivered on-site at your party. Adapted specifically to your special day by our engaging instructors, we have something for celebrants of any age.","Add some extra fun for your campers this year: Extra Ed’s exciting programming is available to camps on PA days, during the March break, and over summer vacation. With programs focused on learning, playing, creating, performing and more, we can bring the perfect compliment to your existing program. Let’s work together to build some meaningful memories for your campers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Kindergarten Clubs.,Applied learning.,Chess for STEM and SEL/ÉCHECS pour STIM et AS.,Hands-on fun.,Kindergarten curriculum.,Community events.,For childcare centres.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,Several of our Lunch and After-School Clubs have kindergarten-specific iterations which are tailored to serve the particular educational and developmental needs of younger students. Learn more>,"We present hands-on activities that teach concepts in meaningful and memorable ways. For instance, our students may learn to use a coding language so they can program simple games; analyze chess movements to explore their underlying mathematical concepts and hierarchies; or participate in financial decision-making tournaments to comprehend the long-term impact of their fiscal choices.","This program is designed to teach students crucial mathematical and scientific skills as they play and analyze the game of chess. We build towards specific outcomes from the Mathematics and Science & Technology curricula such as patterning, spatial reasoning, problem solving, and probability—all while exploring elements of social-emotional learning through chess play. Learn more>","We apply an experiential learning philosophy to the development of our curriculum. Across our broad range of subjects such as magic[link], chess club[link], art[link], drama[link], robotics[link] and more, our activities are designed to be memorable and meaningful, helping children develop life skills and foster interests they will carry with them for years.","The curriculum of our Kindergarten Clubs and In-Class Enrichment programs is appropriate to the age and developmental requirements of our kindergarten participants. The activities are designed to foster a variety of manual, cognitive and social early-life skills.","Extra Ed is a mainstay of community events programming. From street parties to school fairs we have a number of activities that can add some fun to the day. With outdoor tents and canopies in tow we’re ready, rain or shine, to provide on-site activities such as magic, sports and games, communal art projects, and yes, even comically-oversized chess boards.","Extra Ed provides an effortless and economical way to provide new experiences at your centre. Designed for wide range of ages, the activities for childcare centres are led by instructors who are dynamic, thoughtful and patient. These programs can be tailored from our numerous offerings to provide just the right weekly, daily, or one-off activity to enrich your current curriculum. Our programs run before and after school, as well as any time during school breaks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,In-Class Enrichment.,Flexible delivery options.,Contact us for more information:,Economic inclusivity.,Contact us for more information:,Corporate events.,Contact us for more information:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body,"This program brings Extra Ed into the classroom to provide educational opportunities designed to supplement school curriculum. Our experiential learning approach brings added dimension to any subject, providing memorable learning outcomes. Learn more>","Available for classes from kindergarten to grade 8, we make our In-Class Enrichment programs flexible in delivery. We tailor them to suit the particular needs of any given classroom and budget, and can present each as half-day, full-day, multiple-day, or weekly activities.",Please reach Bliss at (416) 402 1433 or bliss@extraed.ca,"We are committed to the principle that no student be excluded from our programs due to financial constraint. Because Lunch and After-School Clubs are participant-paid, we are proud to offer our clubs with the option for families to pay less than the asking price (or even nothing at all) with no questions asked.",Please reach Bliss at (416) 402 1433 or bliss@extraed.ca,"Our special event programming is not just for kids. With several subjects that lend themselves very well to team-building workshops, we also provide activities to corporate events. We have great activities such as magic lessons, improv, and art projects that allow teams to work together and build bonds beyond the confines of the office.",Please reach Bliss at (416) 402 1433 or bliss@extraed.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,TDSB Partnership Programs.,Contact us for more information:,Enhancing the curriculum.,Contact us for more information:,Programs available.,Contact us for more information:,Programs subjects.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
